job;marital;education;default;housing;loan;month;day_of_week;campaign;cons.conf.idx;euribor3m;nr.employed;y;log_age;log_duration
2;1;6;0;0;0;0;0;1;-46.2;1.313;5099.1;0;3.6375861597263857;5.25227342804663
1;1;0;0;0;0;7;4;2;-47.1;1.41;5099.1;0;3.4965075614664802;6.180016653652572
1;0;1;1;0;0;0;0;1;-46.2;1.25;5099.1;0;3.8066624897703196;5.521460917862246
3;0;3;0;1;0;0;2;1;-36.4;4.858;5191.0;0;3.784189633918261;5.556828061699537
0;0;4;0;0;0;4;4;2;-42.7;4.966;5228.1;0;3.6375861597263857;5.963579343618446
0;0;0;0;1;0;1;3;1;-39.8;0.702;4991.6;0;3.5263605246161616;1.9459101490553132
6;0;2;0;0;0;4;1;1;-33.6;1.029;5076.2;0;3.8501476017100584;4.812184355372417
2;0;2;0;0;2;4;1;1;-33.6;1.085;5076.2;0;4.07753744390572;4.5217885770490405
0;0;5;1;0;2;5;4;2;-36.1;4.964;5228.1;0;3.9318256327243257;5.6937321388027
0;0;4;0;0;0;1;1;2;-41.8;4.864;5228.1;0;3.4339872044851463;6.0063531596017325
6;0;2;0;0;2;2;1;1;-42.0;4.12;5195.8;0;4.02535169073515;4.6443908991413725
2;0;2;0;1;0;1;2;2;-41.8;4.961;5228.1;0;3.6635616461296463;4.90527477843843
3;0;2;0;0;0;2;3;1;-42.0;4.153;5195.8;1;3.713572066704308;6.74993119378857
6;2;4;0;0;0;2;4;1;-42.0;4.076;5195.8;0;3.713572066704308;4.990432586778736
1;0;1;1;1;0;0;4;4;-36.4;4.86;5191.0;0;3.970291913552122;5.313205979041787
0;0;1;0;1;2;4;2;4;-42.7;4.962;5228.1;0;3.5553480614894135;5.003946305945459
7;0;0;0;1;2;0;1;1;-46.2;1.334;5099.1;0;4.060443010546419;4.969813299576001
4;0;3;0;0;0;1;1;2;-41.8;4.959;5228.1;0;3.2188758248682006;5.976350909297934
0;2;0;0;0;0;0;3;1;-46.2;1.344;5099.1;0;3.5553480614894135;6.259581464064923
1;1;1;0;1;0;4;1;1;-42.7;4.963;5228.1;0;3.332204510175204;4.290459441148391
0;0;3;0;0;2;0;0;3;-46.2;1.25;5099.1;0;4.007333185232471;5.2832037287379885
3;0;5;1;1;2;0;4;1;-36.4;4.855;5191.0;0;3.9889840465642745;4.68213122712422
5;2;0;1;1;0;4;1;2;-42.7;4.962;5228.1;0;3.8066624897703196;4.382026634673881
0;0;0;0;0;0;7;4;1;-47.1;1.41;5099.1;0;3.4657359027997265;4.736198448394496
2;0;0;1;0;0;5;4;3;-36.1;4.963;5228.1;0;3.912023005428146;4.804021044733257
7;0;5;0;1;0;7;3;1;-47.1;1.405;5099.1;1;4.31748811353631;4.6913478822291435
4;2;6;0;1;0;0;1;4;-36.4;4.858;5191.0;0;3.4965075614664802;7.057036981697891
6;0;2;0;1;2;5;1;2;-36.1;4.967;5228.1;0;3.367295829986474;5.198497031265826
6;0;2;0;0;0;0;4;1;-46.2;1.327;5099.1;0;3.8066624897703196;5.476463551931511
2;2;2;0;1;0;7;2;1;-47.1;1.392;5099.1;1;3.6375861597263857;5.886104031450156
1;1;3;0;0;0;0;2;1;-36.4;4.858;5191.0;0;3.1780538303479458;5.749392985908253
5;0;3;0;0;0;5;2;1;-36.1;4.963;5228.1;0;3.713572066704308;6.891625897052253
7;2;1;0;0;0;1;3;1;-40.8;1.262;5076.2;1;4.060443010546419;6.4967749901858625
2;0;2;0;1;2;0;1;2;-36.4;4.857;5191.0;0;3.5263605246161616;5.056245805348308
2;0;2;0;1;0;2;2;2;-50.8;1.05;4963.6;0;3.5263605246161616;4.948759890378168
5;2;3;0;1;0;0;1;1;-36.4;4.856;5191.0;0;3.6109179126442243;5.924255797414532
0;2;5;0;1;0;1;1;1;-41.8;4.959;5228.1;1;3.970291913552122;6.559615237493242
5;2;3;0;0;0;2;3;1;-42.0;4.153;5195.8;0;3.4657359027997265;5.521460917862246
2;0;1;0;0;0;4;0;6;-42.7;4.962;5228.1;0;3.7376696182833684;5.739792912179234
1;1;1;0;0;0;0;0;1;-36.4;4.864;5191.0;0;3.4965075614664802;4.709530201312334
0;0;0;0;0;0;7;2;2;-47.1;1.405;5099.1;0;3.713572066704308;4.997212273764115
1;0;1;0;1;2;2;4;1;-42.0;4.076;5195.8;0;3.4339872044851463;3.8918202981106265
5;0;0;1;1;2;0;4;4;-36.4;4.86;5191.0;0;3.6888794541139363;5.14166355650266
10;0;0;0;1;2;2;1;1;-30.1;0.716;5017.5;0;3.970291913552122;5.488937726156687
2;2;2;0;0;0;5;2;1;-36.1;4.965;5228.1;0;3.6888794541139363;5.54907608489522
0;0;5;0;0;0;4;2;1;-42.7;4.96;5228.1;0;3.332204510175204;4.727387818712341
2;0;1;1;0;0;2;1;3;-42.0;4.12;5195.8;0;3.4011973816621555;5.5053315359323625
5;1;2;0;0;0;5;1;1;-36.1;4.965;5228.1;0;3.4657359027997265;5.123963979403259
0;0;5;0;0;0;5;3;1;-36.1;4.963;5228.1;0;3.9889840465642745;5.030437921392435
0;0;0;0;1;0;4;1;1;-42.7;4.963;5228.1;0;3.4339872044851463;5.0238805208462765
1;0;6;0;0;0;5;4;2;-36.1;4.968;5228.1;0;3.912023005428146;4.499809670330265
5;1;6;0;1;0;4;3;2;-42.7;4.961;5228.1;0;3.8501476017100584;4.762173934797756
2;1;1;0;0;2;0;1;1;-46.2;1.281;5099.1;0;3.4339872044851463;5.003946305945459
9;0;1;0;0;0;2;4;1;-42.0;4.076;5195.8;0;3.4657359027997265;6.461468176353717
2;1;1;0;1;0;0;2;2;-46.2;1.299;5099.1;0;3.8501476017100584;7.01571242048723
1;2;1;1;1;0;2;2;1;-42.0;4.191;5195.8;0;3.9512437185814275;5.247024072160486
2;0;2;0;0;0;0;0;2;-46.2;1.313;5099.1;0;3.4657359027997265;5.924255797414532
0;2;5;1;1;0;5;4;1;-38.3;0.904;4991.6;0;4.2626798770413155;5.4116460518550396
1;0;1;0;0;0;0;0;2;-36.4;4.855;5191.0;0;3.8918202981106265;5.840641657373398
2;0;1;0;0;2;1;1;10;-41.8;4.864;5228.1;0;3.828641396489095;4.997212273764115
0;0;3;0;1;0;2;0;1;-50.8;1.028;4963.6;0;3.828641396489095;5.948034989180646
2;0;2;0;0;0;5;3;6;-36.1;4.965;5228.1;0;3.6375861597263857;3.5553480614894135
1;0;3;1;1;0;5;2;2;-36.1;4.965;5228.1;0;4.04305126783455;5.030437921392435
1;1;1;1;2;1;0;2;2;-46.2;1.299;5099.1;0;3.713572066704308;6.648984550024776
5;0;3;0;1;0;0;0;3;-36.4;4.864;5191.0;0;3.784189633918261;4.820281565605037
5;0;2;0;0;0;5;1;7;-36.1;4.964;5228.1;0;3.8501476017100584;5.84354441703136
0;0;0;0;0;2;0;1;2;-36.4;4.858;5191.0;0;3.6888794541139363;6.85751406254539
7;1;3;0;0;0;0;2;1;-36.4;4.857;5191.0;0;4.04305126783455;5.236441962829949
0;0;0;0;1;0;5;0;1;-36.1;4.966;5228.1;1;3.9512437185814275;6.695798917058491
6;0;2;0;0;2;1;1;1;-40.8;1.26;5076.2;0;3.5263605246161616;5.2574953720277815
3;0;2;0;0;0;0;3;1;-36.4;4.857;5191.0;0;3.7376696182833684;5.0369526024136295
5;0;6;0;0;0;1;0;3;-41.8;4.959;5228.1;0;3.9318256327243257;2.833213344056216
6;0;5;1;0;0;0;0;1;-36.4;4.855;5191.0;0;3.8066624897703196;4.605170185988092
7;0;1;0;1;0;0;2;1;-46.2;1.244;5099.1;0;4.02535169073515;5.75890177387728
6;0;2;0;0;0;0;4;1;-46.2;1.327;5099.1;0;3.713572066704308;4.532599493153256
2;0;1;0;0;0;5;0;1;-36.1;4.964;5228.1;0;3.784189633918261;4.709530201312334
4;0;1;0;1;0;5;3;3;-36.1;4.963;5228.1;0;3.9889840465642745;4.77912349311153
0;0;4;0;1;0;5;0;1;-36.1;4.964;5228.1;0;3.9318256327243257;5.973809611869261
0;1;0;0;1;0;2;1;1;-42.0;4.12;5195.8;0;3.4011973816621555;3.4011973816621555
8;0;5;1;0;0;1;0;8;-41.8;4.959;5228.1;0;3.7376696182833684;3.6375861597263857
1;1;0;0;1;0;2;3;2;-42.0;4.153;5195.8;0;3.8501476017100584;5.231108616854587
0;0;4;0;0;0;7;0;1;-47.1;1.405;5099.1;0;3.5553480614894135;4.727387818712341
0;0;0;0;1;0;2;3;1;-42.0;4.153;5195.8;0;4.060443010546419;4.1588830833596715
0;2;1;0;0;2;4;2;2;-42.7;4.96;5228.1;1;3.912023005428146;6.444131256700441
5;0;3;0;1;0;0;3;1;-36.4;4.856;5191.0;0;3.713572066704308;4.5217885770490405
5;0;2;0;0;0;0;1;1;-46.2;1.334;5099.1;0;3.6375861597263857;4.990432586778736
11;1;2;0;1;0;2;4;2;-42.0;4.076;5195.8;0;3.4657359027997265;5.017279836814924
11;1;1;0;1;0;5;3;1;-31.4;0.884;5076.2;0;3.044522437723423;5.556828061699537
2;2;0;1;1;0;0;1;1;-36.4;4.856;5191.0;0;3.828641396489095;6.0473721790462776
4;0;2;0;0;0;2;0;3;-42.0;4.021;5195.8;0;3.7376696182833684;6.78897174299217
0;1;4;1;0;0;1;1;1;-41.8;4.959;5228.1;0;3.4011973816621555;4.605170185988092
6;0;5;0;0;0;2;1;1;-42.0;4.12;5195.8;0;3.970291913552122;4.143134726391533
6;0;2;0;0;0;2;1;2;-42.0;4.12;5195.8;0;3.5553480614894135;5.579729825986222
1;0;3;0;0;0;0;3;4;-36.4;4.856;5191.0;0;3.828641396489095;5.60947179518496
0;0;6;0;1;0;0;1;2;-36.4;4.857;5191.0;0;3.4011973816621555;4.442651256490317
3;0;2;1;0;0;4;3;1;-42.7;4.961;5228.1;0;3.7612001156935624;5.564520407322694
1;0;1;1;0;0;4;2;4;-42.7;4.96;5228.1;0;3.7376696182833684;4.912654885736052
5;0;3;0;1;0;4;3;1;-42.7;4.962;5228.1;0;3.4657359027997265;6.566672429803241
0;2;0;0;0;0;0;0;1;-46.2;1.313;5099.1;0;3.713572066704308;4.477336814478207
2;0;2;0;1;0;0;3;3;-46.2;1.291;5099.1;0;3.332204510175204;4.276666119016055
1;1;2;0;1;0;4;4;6;-42.7;4.963;5228.1;0;3.1780538303479458;4.727387818712341
6;0;2;1;0;2;7;0;1;-47.1;1.405;5099.1;0;3.7612001156935624;5.726847747587197
2;1;2;0;0;0;5;2;1;-36.1;4.97;5228.1;0;3.4011973816621555;3.6635616461296463
0;0;0;1;1;0;2;3;2;-42.0;4.153;5195.8;0;4.007333185232471;4.143134726391533
7;0;0;1;1;0;4;0;1;-42.7;4.959;5228.1;0;3.9318256327243257;4.1588830833596715
11;1;1;0;1;2;4;0;2;-42.7;4.957;5228.1;0;3.091042453358316;5.0369526024136295
3;1;2;0;1;2;2;4;1;-42.0;4.076;5195.8;0;3.4657359027997265;4.836281906951478
2;0;3;1;1;0;4;4;3;-42.7;4.968;5228.1;0;3.7612001156935624;4.844187086458591
6;0;4;1;1;0;1;2;5;-41.8;4.865;5228.1;0;3.6635616461296463;5.049856007249537
0;2;6;0;1;0;4;3;8;-42.7;4.961;5228.1;0;3.9512437185814275;4.709530201312334
5;1;3;0;0;0;0;2;3;-46.2;1.244;5099.1;0;3.6375861597263857;5.308267697401205
7;0;5;0;1;0;7;3;4;-47.1;1.453;5099.1;0;4.07753744390572;5.8664680569332965
0;0;5;0;0;0;0;1;2;-36.4;4.857;5191.0;0;3.4339872044851463;5.0689042022202315
10;1;0;1;0;0;1;2;3;-41.8;4.96;5228.1;0;3.784189633918261;4.330733340286331
0;0;6;0;1;0;0;0;2;-36.4;4.864;5191.0;0;3.4011973816621555;4.442651256490317
1;0;1;1;1;0;1;0;1;-41.8;4.959;5228.1;0;3.4657359027997265;5.159055299214529
9;0;6;0;1;0;1;0;3;-41.8;4.967;5228.1;0;3.713572066704308;5.634789603169249
2;1;2;0;0;0;5;4;4;-36.1;4.963;5228.1;1;3.4965075614664802;6.530877627725885
7;0;5;0;0;0;5;0;1;-36.1;4.963;5228.1;0;4.07753744390572;4.543294782270004
0;0;0;0;0;0;4;2;3;-42.7;4.96;5228.1;0;3.332204510175204;5.41610040220442
0;1;4;0;0;0;0;0;2;-46.2;1.313;5099.1;0;3.4965075614664802;6.161207321695077
1;0;1;1;0;0;5;4;1;-36.1;4.964;5228.1;0;3.970291913552122;4.330733340286331
1;0;1;0;1;0;6;1;6;-50.0;1.778;5099.1;1;3.713572066704308;5.932245187448011
10;0;5;0;1;2;4;4;1;-42.7;4.962;5228.1;0;4.007333185232471;5.220355825078324
0;0;0;1;1;0;0;3;1;-36.4;4.856;5191.0;0;3.8066624897703196;4.795790545596741
5;0;3;0;1;0;4;4;4;-42.7;4.968;5228.1;0;3.5553480614894135;4.836281906951478
1;0;1;1;1;0;4;2;3;-42.7;4.96;5228.1;0;3.4339872044851463;5.075173815233827
6;0;2;0;1;0;5;2;4;-36.1;4.965;5228.1;0;3.970291913552122;5.746203190540153
5;1;3;0;0;0;0;4;1;-46.2;1.327;5099.1;0;3.5553480614894135;4.948759890378168
0;2;4;1;0;0;0;4;1;-46.2;1.327;5099.1;0;3.8066624897703196;5.389071729816501
8;1;2;0;1;0;1;4;2;-41.8;4.961;5228.1;0;3.5263605246161616;5.58724865840025
2;0;0;0;1;0;7;2;3;-47.1;1.405;5099.1;0;3.7376696182833684;6.0063531596017325
4;0;0;0;0;2;2;4;3;-42.0;4.076;5195.8;0;3.58351893845611;5.017279836814924
2;0;1;0;1;0;0;1;3;-36.4;4.856;5191.0;0;3.784189633918261;5.429345628954441
2;2;2;0;0;0;5;3;2;-36.1;4.965;5228.1;0;3.912023005428146;4.290459441148391
2;0;2;0;0;0;3;0;1;-29.8;0.773;5017.5;0;3.58351893845611;5.872117789475416
5;0;3;0;1;0;4;4;9;-42.7;4.963;5228.1;0;3.295836866004329;4.624972813284271
6;0;6;0;1;0;0;0;3;-36.4;4.859;5191.0;0;3.6888794541139363;4.574710978503383
5;1;2;0;0;2;1;2;6;-41.8;4.96;5228.1;0;3.2188758248682006;3.5553480614894135
6;0;2;0;0;2;5;3;2;-36.1;4.966;5228.1;0;3.367295829986474;4.7535901911063645
2;0;1;0;1;0;0;1;3;-36.4;4.856;5191.0;0;3.784189633918261;4.418840607796598
0;0;6;1;0;0;0;3;2;-36.4;4.856;5191.0;0;4.04305126783455;6.159095388491933
2;1;1;0;0;0;4;1;1;-42.7;4.963;5228.1;0;3.4011973816621555;6.405228458030842
4;0;2;0;0;2;5;1;2;-36.1;4.967;5228.1;0;3.6109179126442243;6.371611847231857
5;0;0;0;1;0;4;3;1;-42.7;4.961;5228.1;0;4.04305126783455;4.543294782270004
5;0;3;0;0;0;4;4;1;-42.7;4.963;5228.1;1;3.4657359027997265;5.541263545158426
0;0;0;0;0;0;5;2;1;-36.1;4.97;5228.1;1;4.060443010546419;6.740519359606223
2;1;2;1;0;0;5;3;5;-36.1;4.963;5228.1;0;3.367295829986474;5.062595033026967
1;0;1;1;1;0;5;3;1;-36.1;4.966;5228.1;0;4.0943445622221;4.290459441148391
9;1;2;0;1;0;1;1;2;-41.8;4.864;5228.1;0;3.295836866004329;6.0014148779611505
9;0;1;0;0;0;4;3;3;-42.7;4.961;5228.1;0;3.4011973816621555;5.948034989180646
0;0;5;0;1;0;0;1;1;-36.4;4.859;5191.0;0;3.7376696182833684;3.9318256327243257
8;0;1;0;1;0;1;3;1;-41.8;4.864;5228.1;0;3.871201010907891;4.465908118654584
2;1;2;0;1;0;5;2;2;-36.1;4.97;5228.1;0;3.5553480614894135;5.117993812416755
0;0;4;1;0;2;0;2;1;-36.4;4.857;5191.0;0;3.828641396489095;6.0867747269123065
7;3;5;0;1;0;0;3;1;-36.4;4.857;5191.0;0;4.04305126783455;6.511745329644728
1;0;1;0;1;0;1;2;3;-41.8;4.865;5228.1;0;3.4011973816621555;5.017279836814924
5;1;1;0;0;2;7;4;4;-47.1;1.41;5099.1;0;3.332204510175204;3.871201010907891
1;0;1;1;0;0;0;3;1;-36.4;4.856;5191.0;0;3.5263605246161616;5.733341276897746
0;0;5;1;1;0;1;4;1;-41.8;4.958;5228.1;0;3.7376696182833684;5.4638318050256105
2;1;2;0;0;0;2;3;1;-42.0;4.153;5195.8;0;3.4011973816621555;5.662960480135946
11;1;0;0;0;0;5;1;1;-38.3;0.9;4991.6;0;3.295836866004329;4.709530201312334
3;0;2;0;0;0;5;4;1;-36.1;4.964;5228.1;0;3.1354942159291497;4.465908118654584
0;0;5;1;0;0;0;3;1;-36.4;4.857;5191.0;0;3.7612001156935624;5.262690188904886
6;0;5;1;0;2;0;3;1;-36.4;4.857;5191.0;0;4.07753744390572;5.762051382780177
4;0;0;0;1;0;0;1;2;-36.4;4.858;5191.0;0;3.7612001156935624;5.153291594497779
5;0;1;0;0;0;0;2;2;-36.4;4.857;5191.0;0;3.9512437185814275;6.220590170099739
8;1;1;1;0;2;4;4;1;-42.7;4.963;5228.1;0;3.258096538021482;4.844187086458591
0;0;0;0;0;2;0;0;6;-36.4;4.855;5191.0;0;3.1780538303479458;4.61512051684126
0;1;4;0;1;0;2;4;1;-42.0;4.076;5195.8;0;3.5553480614894135;5.91350300563827
5;0;3;0;1;0;1;4;4;-39.8;0.742;4991.6;1;4.07753744390572;7.095893221097532
0;0;4;1;1;0;0;4;1;-36.4;4.855;5191.0;0;3.332204510175204;5.568344503761097
0;1;0;0;1;0;0;1;2;-36.4;4.857;5191.0;0;3.6109179126442243;5.351858133476067
2;0;3;0;1;0;7;0;1;-47.1;1.405;5099.1;0;3.828641396489095;6.411818267709897
6;0;2;0;0;0;5;4;6;-36.1;4.963;5228.1;0;3.6888794541139363;4.343805421853684
0;0;5;1;0;0;4;3;2;-42.7;4.961;5228.1;0;4.02535169073515;5.814130531825066
6;0;2;0;0;0;0;3;1;-46.2;1.344;5099.1;0;3.6888794541139363;6.129050210060545
2;1;2;0;0;2;0;1;2;-36.4;4.859;5191.0;0;3.367295829986474;5.583496308781699
0;1;0;0;0;0;0;4;1;-46.2;1.266;5099.1;0;3.332204510175204;5.41610040220442
5;1;6;1;1;0;0;4;7;-36.4;4.86;5191.0;0;3.871201010907891;5.54907608489522
9;1;2;0;0;0;0;2;1;-46.2;1.244;5099.1;0;3.332204510175204;6.073044534100405
